#   x       y(x)            y(x)^2       classical p(x)      V
 -5.791  3.58021583e-08  1.28179454e-15  0.00000000e+00   16.767841
 -5.790  3.60490735e-08  1.29953570e-15  0.00000000e+00   16.762050
 -5.789  3.62971612e-08  1.31748391e-15  0.00000000e+00   16.756260
 -5.788  3.65464290e-08  1.33564147e-15  0.00000000e+00   16.750472
 -5.787  3.67968846e-08  1.35401071e-15  0.00000000e+00   16.744684
 -5.786  3.70485357e-08  1.37259400e-15  0.00000000e+00   16.738898
 -5.785  3.73013901e-08  1.39139370e-15  0.00000000e+00   16.733113
 -5.784  3.75554555e-08  1.41041223e-15  0.00000000e+00   16.727328
 -5.783  3.78107397e-08  1.42965204e-15  0.00000000e+00   16.721545
 -5.782  3.80672507e-08  1.44911557e-15  0.00000000e+00   16.715762
 -5.781  3.83249962e-08  1.46880533e-15  0.00000000e+00   16.709980
 -5.780  3.85839842e-08  1.48872384e-15  0.00000000e+00   16.704200
 -5.779  3.88442227e-08  1.50887364e-15  0.00000000e+00   16.698421
 -5.778  3.91057196e-08  1.52925731e-15  0.00000000e+00   16.692642
 -5.777  3.93684830e-08  1.54987745e-15  0.00000000e+00   16.686865
 -5.776  3.96325209e-08  1.57073671e-15  0.00000000e+00   16.681088
 -5.775  3.98978414e-08  1.59183775e-15  0.00000000e+00   16.675313
 -5.774  4.01644526e-08  1.61318325e-15  0.00000000e+00   16.669538
 -5.773  4.04323626e-08  1.63477595e-15  0.00000000e+00   16.663764
 -5.772  4.07015798e-08  1.65661860e-15  0.00000000e+00   16.657992
 -5.771  4.09721123e-08  1.67871399e-15  0.00000000e+00   16.652220
 -5.770  4.12439684e-08  1.70106493e-15  0.00000000e+00   16.646450
 -5.769  4.15171563e-08  1.72367427e-15  0.00000000e+00   16.640681
 -5.768  4.17916845e-08  1.74654489e-15  0.00000000e+00   16.634912
 -5.767  4.20675613e-08  1.76967971e-15  0.00000000e+00   16.629145
 -5.766  4.23447951e-08  1.79308167e-15  0.00000000e+00   16.623378
 -5.765  4.26233944e-08  1.81675375e-15  0.00000000e+00   16.617612
 -5.764  4.29033677e-08  1.84069896e-15  0.00000000e+00   16.611848
 -5.763  4.31847235e-08  1.86492035e-15  0.00000000e+00   16.606084
 -5.762  4.34674704e-08  1.88942098e-15  0.00000000e+00   16.600322
 -5.761  4.37516170e-08  1.91420399e-15  0.00000000e+00   16.594561
 -5.760  4.40371719e-08  1.93927251e-15  0.00000000e+00   16.588800
 -5.759  4.43241438e-08  1.96462972e-15  0.00000000e+00   16.583041
 -5.758  4.46125414e-08  1.99027885e-15  0.00000000e+00   16.577282
 -5.757  4.49023736e-08  2.01622315e-15  0.00000000e+00   16.571525
 -5.756  4.51936490e-08  2.04246591e-15  0.00000000e+00   16.565768
 -5.755  4.54863766e-08  2.06901045e-15  0.00000000e+00   16.560012
 -5.754  4.57805652e-08  2.09586015e-15  0.00000000e+00   16.554258
 -5.753  4.60762238e-08  2.12301840e-15  0.00000000e+00   16.548504
 -5.752  4.63733612e-08  2.15048863e-15  0.00000000e+00   16.542752
 -5.751  4.66719866e-08  2.17827434e-15  0.00000000e+00   16.537001
 -5.750  4.69721090e-08  2.20637902e-15  0.00000000e+00   16.531250
 -5.749  4.72737374e-08  2.23480625e-15  0.00000000e+00   16.525501
 -5.748  4.75768810e-08  2.26355960e-15  0.00000000e+00   16.519752
 -5.747  4.78815489e-08  2.29264272e-15  0.00000000e+00   16.514004
 -5.746  4.81877504e-08  2.32205929e-15  0.00000000e+00   16.508258
 -5.745  4.84954946e-08  2.35181300e-15  0.00000000e+00   16.502513
 -5.744  4.88047910e-08  2.38190763e-15  0.00000000e+00   16.496768
 -5.743  4.91156489e-08  2.41234696e-15  0.00000000e+00   16.491025
 -5.742  4.94280775e-08  2.44313485e-15  0.00000000e+00   16.485282
 -5.741  4.97420864e-08  2.47427516e-15  0.00000000e+00   16.479541
 -5.740  5.00576850e-08  2.50577183e-15  0.00000000e+00   16.473800
 -5.739  5.03748828e-08  2.53762882e-15  0.00000000e+00   16.468060
 -5.738  5.06936895e-08  2.56985015e-15  0.00000000e+00   16.462322
 -5.737  5.10141145e-08  2.60243988e-15  0.00000000e+00   16.456585
 -5.736  5.13361675e-08  2.63540209e-15  0.00000000e+00   16.450848
 -5.735  5.16598582e-08  2.66874095e-15  0.00000000e+00   16.445113
 -5.734  5.19851964e-08  2.70246065e-15  0.00000000e+00   16.439378
 -5.733  5.23121918e-08  2.73656542e-15  0.00000000e+00   16.433645
 -5.732  5.26408543e-08  2.77105954e-15  0.00000000e+00   16.427912
 -5.731  5.29711937e-08  2.80594736e-15  0.00000000e+00   16.422180
 -5.730  5.33032199e-08  2.84123325e-15  0.00000000e+00   16.416450
 -5.729  5.36369430e-08  2.87692165e-15  0.00000000e+00   16.410721
 -5.728  5.39723728e-08  2.91301702e-15  0.00000000e+00   16.404992
 -5.727  5.43095195e-08  2.94952391e-15  0.00000000e+00   16.399265
 -5.726  5.46483932e-08  2.98644687e-15  0.00000000e+00   16.393538
 -5.725  5.49890039e-08  3.02379055e-15  0.00000000e+00   16.387813
 -5.724  5.53313620e-08  3.06155962e-15  0.00000000e+00   16.382088
 -5.723  5.56754777e-08  3.09975882e-15  0.00000000e+00   16.376364
 -5.722  5.60213612e-08  3.13839291e-15  0.00000000e+00   16.370642
 -5.721  5.63690229e-08  3.17746674e-15  0.00000000e+00   16.364921
 -5.720  5.67184732e-08  3.21698520e-15  0.00000000e+00   16.359200
 -5.719  5.70697225e-08  3.25695323e-15  0.00000000e+00   16.353481
 -5.718  5.74227813e-08  3.29737582e-15  0.00000000e+00   16.347762
 -5.717  5.77776602e-08  3.33825802e-15  0.00000000e+00   16.342045
 -5.716  5.81343697e-08  3.37960494e-15  0.00000000e+00   16.336328
 -5.715  5.84929205e-08  3.42142175e-15  0.00000000e+00   16.330613
 -5.714  5.88533232e-08  3.46371366e-15  0.00000000e+00   16.324898
 -5.713  5.92155887e-08  3.50648594e-15  0.00000000e+00   16.319185
 -5.712  5.95797276e-08  3.54974394e-15  0.00000000e+00   16.313472
 -5.711  5.99457509e-08  3.59349305e-15  0.00000000e+00   16.307761
 -5.710  6.03136693e-08  3.63773871e-15  0.00000000e+00   16.302050
 -5.709  6.06834940e-08  3.68248644e-15  0.00000000e+00   16.296341
 -5.708  6.10552358e-08  3.72774182e-15  0.00000000e+00   16.290632
 -5.707  6.14289058e-08  3.77351047e-15  0.00000000e+00   16.284924
